game_id,player_id,player_name,period,shot_clock,dribbles,touch_time,shot_distance,shot_value,shot_zone,defender_distance,pressure_level,shot_result,shot_made,points
21400899,203148,brian roberts,1,10.8,2,1.9,7.7,2,Paint,1.3,Very Tight,made,1,2
21400899,203148,brian roberts,1,3.4,0,0.8,28.2,3,Three Point,6.1,Very Open,missed,0,0
21400899,203148,brian roberts,1,12.3,3,2.7,10.1,2,Mid-Range,0.9,Very Tight,missed,0,0
21400899,203148,brian roberts,2,10.3,2,1.9,17.2,2,Mid-Range,3.4,Tight,missed,0,0
21400899,203148,brian roberts,2,10.9,2,2.7,3.7,2,Paint,1.1,Very Tight,missed,0,0
21400899,203148,brian roberts,2,9.1,2,4.4,18.4,2,Mid-Range,2.6,Tight,missed,0,0
21400899,203148,brian roberts,4,14.5,11,9.0,20.7,2,Mid-Range,6.1,Very Open,missed,0,0
21400899,203148,brian roberts,4,3.4,3,2.5,3.5,2,Paint,2.1,Very Tight,made,1,2
21400899,203148,brian roberts,4,12.4,0,0.8,24.6,3,Three Point,7.3,Very Open,missed,0,0
21400890,203148,brian roberts,2,17.4,0,1.1,22.4,3,Three Point,19.8,Very Open,missed,0,0
21400890,203148,brian roberts,2,16.0,8,7.5,24.5,3,Three Point,4.7,Open,missed,0,0
21400890,203148,brian roberts,4,12.1,14,11.9,14.6,2,Mid-Range,1.8,Very Tight,made,1,2
21400890,203148,brian roberts,4,4.3,2,2.9,5.9,2,Paint,5.4,Open,made,1,2
21400882,203148,brian roberts,4,4.4,0,0.8,26.4,3,Three Point,4.4,Open,missed,0,0
21400859,203148,brian roberts,1,6.8,0,0.5,22.8,3,Three Point,5.3,Open,missed,0,0
21400859,203148,brian roberts,2,6.4,3,2.7,24.7,3,Three Point,5.6,Open,made,1,3
21400859,203148,brian roberts,2,17.6,6,5.1,25.0,3,Three Point,5.4,Open,missed,0,0
21400859,203148,brian roberts,4,8.7,1,0.9,25.6,3,Three Point,5.1,Open,missed,0,0
21400859,203148,brian roberts,4,20.8,0,1.2,24.2,3,Three Point,11.1,Very Open,made,1,3
21400845,203148,brian roberts,1,17.5,2,2.2,25.4,3,Three Point,3.5,Tight,missed,0,0
21400845,203148,brian roberts,1,19.5,5,4.4,19.1,2,Mid-Range,4.0,Tight,made,1,2
21400845,203148,brian roberts,2,6.0,6,7.4,14.8,2,Mid-Range,5.4,Open,made,1,2
21400845,203148,brian roberts,2,15.7,0,0.7,25.2,3,Three Point,3.7,Tight,missed,0,0
21400845,203148,brian roberts,2,11.2,16,13.4,22.8,3,Three Point,5.1,Open,made,1,3
21400845,203148,brian roberts,2,12.3,0,0.7,25.2,3,Three Point,3.6,Tight,missed,0,0
21400845,203148,brian roberts,4,17.1,7,7.2,24.6,3,Three Point,6.0,Open,made,1,3
21400845,203148,brian roberts,4,15.4,1,1.6,10.6,2,Mid-Range,0.7,Very Tight,made,1,2
21400827,203148,brian roberts,1,12.3,0,0.8,20.2,2,Mid-Range,3.5,Tight,missed,0,0
21400827,203148,brian roberts,2,18.2,7,5.2,24.9,3,Three Point,4.5,Open,missed,0,0
21400827,203148,brian roberts,2,11.9,1,2.1,8.3,2,Mid-Range,3.5,Tight,missed,0,0
21400827,203148,brian roberts,4,11.6,2,1.8,10.0,2,Mid-Range,2.4,Tight,missed,0,0
21400816,203148,brian roberts,1,10.3,0,0.8,24.1,3,Three Point,10.2,Very Open,missed,0,0
21400816,203148,brian roberts,2,6.0,1,0.8,24.2,3,Three Point,3.4,Tight,missed,0,0
21400816,203148,brian roberts,4,9.9,1,2.2,7.6,2,Paint,2.4,Tight,made,1,2
21400816,203148,brian roberts,4,6.1,2,1.8,8.0,2,Paint,1.8,Very Tight,made,1,2
21400783,203148,brian roberts,1,16.0,10,7.5,6.9,2,Paint,4.9,Open,made,1,2
21400783,203148,brian roberts,3,11.7,0,0.9,24.1,3,Three Point,4.8,Open,missed,0,0
21400783,203148,brian roberts,4,6.5,1,1.8,5.1,2,Paint,3.3,Tight,missed,0,0
21400783,203148,brian roberts,4,13.8,0,0.9,25.0,3,Three Point,3.0,Tight,missed,0,0
21400783,203148,brian roberts,4,12.1,0,0.9,24.0,3,Three Point,6.7,Very Open,missed,0,0
21400783,203148,brian roberts,4,8.3,6,5.8,9.3,2,Mid-Range,3.6,Tight,missed,0,0
21400768,203148,brian roberts,1,19.7,0,1.0,24.7,3,Three Point,11.3,Very Open,made,1,3
21400768,203148,brian roberts,1,12.8,0,0.9,22.5,3,Three Point,7.2,Very Open,made,1,3
21400768,203148,brian roberts,1,16.5,7,6.2,8.8,2,Mid-Range,2.5,Tight,missed,0,0
21400768,203148,brian roberts,1,11.3,0,0.8,20.0,2,Mid-Range,1.9,Very Tight,made,1,2
21400768,203148,brian roberts,2,9.7,1,0.8,24.7,3,Three Point,4.3,Open,missed,0,0
21400768,203148,brian roberts,2,0.7,3,3.7,5.6,2,Paint,2.4,Tight,made,1,2
21400768,203148,brian roberts,3,9.4,0,0.9,23.1,3,Three Point,9.1,Very Open,made,1,3
21400768,203148,brian roberts,3,19.4,0,1.0,5.2,2,Paint,3.2,Tight,made,1,2
21400768,203148,brian roberts,3,15.8,9,7.3,20.0,2,Mid-Range,1.9,Very Tight,missed,0,0
21400768,203148,brian roberts,3,4.8,2,2.8,16.1,2,Mid-Range,4.6,Open,missed,0,0
21400768,203148,brian roberts,3,16.2,9,7.8,6.7,2,Paint,2.3,Tight,made,1,2
21400768,203148,brian roberts,4,22.0,0,1.0,5.0,2,Paint,4.3,Open,made,1,2
21400768,203148,brian roberts,4,6.5,2,1.6,11.4,2,Mid-Range,3.2,Tight,missed,0,0
21400768,203148,brian roberts,4,12.3,5,3.7,34.4,3,Three Point,3.6,Tight,missed,0,0
