shot_distance,shot_angle,defender_distance,shot_zone,pressure_level,shot_value,shot_made
7.7,0.0,1.3,Paint,Very Tight,2,1
28.2,0.0,6.1,Three Point,Open,3,0
10.1,0.0,0.9,Mid-Range,Very Tight,2,0
17.2,0.0,3.4,Mid-Range,Tight,2,0
3.7,0.0,1.1,Paint,Very Tight,2,0
18.4,0.0,2.6,Mid-Range,Tight,2,0
20.7,0.0,6.1,Mid-Range,Open,2,0
3.5,0.0,2.1,Paint,Very Tight,2,1
24.6,0.0,7.3,Three Point,Open,3,0
22.4,0.0,19.8,Three Point,Very Open,3,0
24.5,0.0,4.7,Three Point,Open,3,0
14.6,0.0,1.8,Mid-Range,Very Tight,2,1
5.9,0.0,5.4,Paint,Open,2,1
26.4,0.0,4.4,Three Point,Open,3,0
22.8,0.0,5.3,Three Point,Open,3,0
24.7,0.0,5.6,Three Point,Open,3,1
25.0,0.0,5.4,Three Point,Open,3,0
25.6,0.0,5.1,Three Point,Open,3,0
24.2,0.0,11.1,Three Point,Very Open,3,1
25.4,0.0,3.5,Three Point,Tight,3,0
19.1,0.0,4.0,Mid-Range,Tight,2,1
14.8,0.0,5.4,Mid-Range,Open,2,1
25.2,0.0,3.7,Three Point,Tight,3,0
22.8,0.0,5.1,Three Point,Open,3,1
25.2,0.0,3.6,Three Point,Tight,3,0
24.6,0.0,6.0,Three Point,Open,3,1
10.6,0.0,0.7,Mid-Range,Very Tight,2,1
20.2,0.0,3.5,Mid-Range,Tight,2,0
24.9,0.0,4.5,Three Point,Open,3,0
8.3,0.0,3.5,Mid-Range,Tight,2,0
10.0,0.0,2.4,Mid-Range,Tight,2,0
24.1,0.0,10.2,Three Point,Very Open,3,0
24.2,0.0,3.4,Three Point,Tight,3,0
7.6,0.0,2.4,Paint,Tight,2,1
8.0,0.0,1.8,Paint,Very Tight,2,1
6.9,0.0,4.9,Paint,Open,2,1
24.1,0.0,4.8,Three Point,Open,3,0
5.1,0.0,3.3,Paint,Tight,2,0
25.0,0.0,3.0,Three Point,Tight,3,0
24.0,0.0,6.7,Three Point,Open,3,0
9.3,0.0,3.6,Mid-Range,Tight,2,0
24.7,0.0,11.3,Three Point,Very Open,3,1
22.5,0.0,7.2,Three Point,Open,3,1
8.8,0.0,2.5,Mid-Range,Tight,2,0
20.0,0.0,1.9,Mid-Range,Very Tight,2,1
24.7,0.0,4.3,Three Point,Open,3,0
5.6,0.0,2.4,Paint,Tight,2,1
23.1,0.0,9.1,Three Point,Very Open,3,1
5.2,0.0,3.2,Paint,Tight,2,1
20.0,0.0,1.9,Mid-Range,Very Tight,2,0
16.1,0.0,4.6,Mid-Range,Open,2,0
6.7,0.0,2.3,Paint,Tight,2,1
5.0,0.0,4.3,Paint,Open,2,1
11.4,0.0,3.2,Mid-Range,Tight,2,0
34.4,0.0,3.6,Three Point,Tight,3,0
19.5,0.0,4.7,Mid-Range,Open,2,1
22.9,0.0,6.8,Mid-Range,Open,2,0
24.0,0.0,5.5,Three Point,Open,3,1
19.5,0.0,4.0,Mid-Range,Tight,2,0
23.7,0.0,5.0,Three Point,Open,3,0
14.8,0.0,3.4,Mid-Range,Tight,2,0
25.0,0.0,5.2,Three Point,Open,3,0
22.2,0.0,5.8,Three Point,Open,3,0
26.7,0.0,11.6,Three Point,Very Open,3,0
19.6,0.0,2.7,Mid-Range,Tight,2,0
25.3,0.0,5.6,Three Point,Open,3,0
28.0,0.0,5.3,Three Point,Open,3,0
24.9,0.0,5.8,Three Point,Open,3,0
6.7,0.0,2.0,Paint,Very Tight,2,0
24.4,0.0,8.7,Three Point,Very Open,3,0
